選択された1~9番目のバスの内容は>>>
出発時間  　バス    人数制限　利益(万)　 出す費用(万)   搭乗時間   乗車率
1   15:20       A 　　　100       3.00　　    0.50　　        5   0.940000
2   15:35       A 　　　100       3.00　　    0.50　　        5   1.000000
3   15:45       A 　　　100       3.00　　    0.50　　        5   0.700000
4   16:00       B 　　　150       4.00　　    0.65　　        10   1.000000
5   16:10       A 　　　100       3.00　　    0.50　　        5   1.000000
6   16:15       A 　　　100       3.00　　    0.50　　        5   0.720000
7   16:25       B 　　　150       4.00　　    0.65　　        10   0.906667
8   16:25       B 　　　150       4.00　　    0.65　　        10   0.000000
9   16:30       A 　　　100       3.00　　    0.50　　        5   0.460000
平均機会損失    平均ストレス　　　費用(万)      利益(万)     目的関数
27.84           14.42             4.95        22.09    13.86
37.16           18.79             4.95        24.93    15.34
29.26           13.79             4.95        21.72    13.42
29.42           15.84             4.95        22.94    14.42
35.05           16.79             4.95        23.57    14.39
43.95           18.42             4.95        24.46    14.22
27.95           15.68             4.95        22.71    14.35
30.95           14.42             4.95        22.07    13.53
29.42           14.95             4.95        22.23    13.79
27.58           17.89             4.95        24.14    15.60
31.26           15.79             4.95        22.77    14.07
14.27
